"name","avg_rating","avg_price","avg_review_count","genres"
"Fruit Ninja Classic",4.40,"$1.49",391992,"Arcade"
"Hitman Sniper",4.55,"$0.99",208372,"Action"
"Grand Theft Auto: San Andreas",4.20,"$6.99",190747,"Action"
"Where's My Water?",4.60,"$1.99",160198,"Puzzle;Brain Games"
"Bloons TD 5",4.55,"$2.99",116082,"Strategy"
"True Skate",4.20,"$1.99",70237,"Sports"
"Five Nights at Freddy's",4.55,"$2.99",64096,"Action"
"Hitman GO",4.55,"$2.99",46393,"Puzzle"
"Five Nights at Freddy's 2",4.55,"$2.99",46013,"Strategy"
"NBA JAM by EA SPORTS™",4.15,"$4.99",39046,"Sports;Action & Adventure"
"Threema",4.50,"$2.99",25653,"Communication"
"Five Nights at Freddy's 3",4.60,"$2.99",18866,"Action"
"Farming Simulator 16",4.35,"$3.99",17724,"Simulation;Education"
"Toca Life: City",4.60,"$3.49",17335,"Education;Pretend Play"
"Toca Life: City",4.60,"$3.49",17328,"Education;Pretend Play"
"Don't Starve: Pocket Edition",4.20,"$4.99",10865,"Adventure"
"Baldur's Gate: Enhanced Edition",4.25,"$9.99",10777,"Role Playing"
"The Game of Life",4.45,"$2.99",10475,"Board"
"The Game of Life",4.45,"$2.99",10459,"Board"
"FINAL FANTASY V",4.50,"$11.49",8866,"Role Playing"
"XCOM®: Enemy Within",4.10,"$9.99",8303,"Strategy"
"My Talking Pet",4.55,"$3.49",7636,"Entertainment"
"RollerCoaster Tycoon® Classic",4.30,"$5.99",6294,"Simulation"
"F-Sim Space Shuttle",4.45,"$4.99",5915,"Simulation"
"Battleheart Legacy",4.55,"$4.99",5398,"Role Playing"
"LEGO Batman: DC Super Heroes",4.10,"$4.99",5137,"Adventure;Action & Adventure"
"DRAGON QUEST",4.35,"$2.99",5039,"Role Playing"
"Toca Builders",4.35,"$3.49",4215,"Education;Creativity"
"My Movies Pro - Movie & TV Collection Library",4.55,"$7.99",3893,"Lifestyle"
"Pocket Yoga",4.45,"$2.99",3291,"Health & Fitness"
"Riptide GP: Renegade",4.60,"$2.99",2370,"Racing"
"Dr. Panda & Toto's Treehouse",4.45,"$3.99",1926,"Casual;Pretend Play"
"Dr. Panda & Toto's Treehouse",4.45,"$3.99",1925,"Casual;Pretend Play"
"AJ Jump: Animal Jam Kangaroos!",4.45,"$1.99",1904,"Arcade"
"Paprika Recipe Manager",4.30,"$4.99",1511,"Food & Drink"
"Tsuro - The Game of the Path",4.60,"$2.99",1367,"Board;Brain Games"
"Please, Don't Touch Anything",4.20,"$4.99",1075,"Puzzle"
"Dr. Panda Supermarket",4.10,"$2.99",849,"Educational;Pretend Play"
"Out There Chronicles - Ep. 1",4.20,"$2.49",801,"Role Playing"
"sugar, sugar",4.35,"$1.09",772,"Puzzle"
"Dr. Panda Hospital",4.20,"$2.99",731,"Education;Pretend Play"
"LEGO® Friends",4.20,"$4.99",627,"Casual;Pretend Play"
"The EO Bar",4.85,"$6.99",331,"Health & Fitness"
"Muscle Premium - Human Anatomy, Kinesiology, Bones",4.35,"$22.49",287,"Medical"
"Retro City Rampage DX",4.60,"$3.99",242,"Action"
"Sago Mini Babies",4.25,"$3.49",161,"Education;Pretend Play"
"Dr. Panda Farm",4.05,"$2.99",146,"Education;Pretend Play"
"Alizay, pirate girl",4.50,"$2.99",105,"Casual;Action & Adventure"
"H*nest Meditation",4.70,"$1.99",100,"Lifestyle"
